message;severity;node;stamp;topics;location
"F=15112; x=14.217248; y=17.334590; th=1.176834; xr=(13.750000, 17.314286, 1.570796); ur=(0.000000, 1.023533); s=0; e=8";"1";"/run_jackal_0";"51.889000000";"/clock,/gazebo/model_states,/jackal0/jackal_velocity_controller/cmd_vel,/rosout";"ControlJackals.py:telemetry:121"
"F=15111; x=14.217121; y=17.334381; th=1.174706; xr=(13.750000, 17.314286, 1.570796); ur=(0.000000, 1.023533); s=0; e=8";"1";"/run_jackal_0";"51.888000000";"/clock,/gazebo/model_states,/jackal0/jackal_velocity_controller/cmd_vel,/rosout";"ControlJackals.py:telemetry:121"
"F=15110; x=14.217003; y=17.334172; th=1.172607; xr=(13.750000, 17.314286, 1.570796); ur=(0.000000, 1.023533); s=0; e=8";"1";"/run_jackal_0";"51.887000000";"/clock,/gazebo/model_states,/jackal0/jackal_velocity_controller/cmd_vel,/rosout";"ControlJackals.py:telemetry:121"
"F=15109; x=14.216886; y=17.333960; th=1.170503; xr=(13.750000, 17.314286, 1.570796); ur=(0.000000, 1.023533); s=0; e=8";"1";"/run_jackal_0";"51.887000000";"/clock,/gazebo/model_states,/jackal0/jackal_velocity_controller/cmd_vel,/rosout";"ControlJackals.py:telemetry:121"
"F=15108; x=14.216766; y=17.333748; th=1.168384; xr=(13.750000, 17.314286, 1.570796); ur=(0.000000, 1.023533); s=0; e=8";"1";"/run_jackal_0";"51.886000000";"/clock,/gazebo/model_states,/jackal0/jackal_velocity_controller/cmd_vel,/rosout";"ControlJackals.py:telemetry:121"
"F=15107; x=14.216645; y=17.333537; th=1.166261; xr=(13.750000, 17.314286, 1.570796); ur=(0.000000, 1.023533); s=0; e=8";"1";"/run_jackal_0";"51.885000000";"/clock,/gazebo/model_states,/jackal0/jackal_velocity_controller/cmd_vel,/rosout";"ControlJackals.py:telemetry:121"
"F=15106; x=14.216523; y=17.333327; th=1.164132; xr=(13.750000, 17.314286, 1.570796); ur=(0.000000, 1.023533); s=0; e=8";"1";"/run_jackal_0";"51.885000000";"/clock,/gazebo/model_states,/jackal0/jackal_velocity_controller/cmd_vel,/rosout";"ControlJackals.py:telemetry:121"
"F=15105; x=14.216400; y=17.333116; th=1.161996; xr=(13.750000, 17.314286, 1.570796); ur=(0.000000, 1.023533); s=0; e=8";"1";"/run_jackal_0";"51.884000000";"/clock,/gazebo/model_states,/jackal0/jackal_velocity_controller/cmd_vel,/rosout";"ControlJackals.py:telemetry:121"
"F=15104; x=14.216277; y=17.332906; th=1.159857; xr=(13.750000, 17.314286, 1.570796); ur=(0.000000, 1.023533); s=0; e=8";"1";"/run_jackal_0";"51.876000000";"/clock,/gazebo/model_states,/jackal0/jackal_velocity_controller/cmd_vel,/rosout";"ControlJackals.py:telemetry:121"
"F=15103; x=14.216158; y=17.332692; th=1.157726; xr=(13.750000, 17.314286, 1.570796); ur=(0.000000, 1.023533); s=0; e=8";"1";"/run_jackal_0";"51.875000000";"/clock,/gazebo/model_states,/jackal0/jackal_velocity_controller/cmd_vel,/rosout";"ControlJackals.py:telemetry:121"
"F=15102; x=14.216044; y=17.332480; th=1.155606; xr=(13.750000, 17.314286, 1.570796); ur=(0.000000, 1.023533); s=0; e=8";"1";"/run_jackal_0";"51.874000000";"/clock,/gazebo/model_states,/jackal0/jackal_velocity_controller/cmd_vel,/rosout";"ControlJackals.py:telemetry:121"
"F=15101; x=14.215929; y=17.332267; th=1.153474; xr=(13.750000, 17.314286, 1.570796); ur=(0.000000, 1.023533); s=0; e=8";"1";"/run_jackal_0";"51.874000000";"/clock,/gazebo/model_states,/jackal0/jackal_velocity_controller/cmd_vel,/rosout";"ControlJackals.py:telemetry:121"
"F=15100; x=14.215812; y=17.332053; th=1.151332; xr=(13.750000, 17.314286, 1.570796); ur=(0.000000, 1.023533); s=0; e=8";"1";"/run_jackal_0";"51.873000000";"/clock,/gazebo/model_states,/jackal0/jackal_velocity_controller/cmd_vel,/rosout";"ControlJackals.py:telemetry:121"
"F=15099; x=14.215694; y=17.331839; th=1.149179; xr=(13.750000, 17.314286, 1.570796); ur=(0.000000, 1.023533); s=0; e=8";"1";"/run_jackal_0";"51.872000000";"/clock,/gazebo/model_states,/jackal0/jackal_velocity_controller/cmd_vel,/rosout";"ControlJackals.py:telemetry:121"
"F=15098; x=14.215576; y=17.331625; th=1.147028; xr=(13.750000, 17.314286, 1.570796); ur=(0.000000, 1.023533); s=0; e=8";"1";"/run_jackal_0";"51.872000000";"/clock,/gazebo/model_states,/jackal0/jackal_velocity_controller/cmd_vel,/rosout";"ControlJackals.py:telemetry:121"
"F=15097; x=14.215457; y=17.331410; th=1.144877; xr=(13.750000, 17.314286, 1.570796); ur=(0.000000, 1.023533); s=0; e=8";"1";"/run_jackal_0";"51.871000000";"/clock,/gazebo/model_states,/jackal0/jackal_velocity_controller/cmd_vel,/rosout";"ControlJackals.py:telemetry:121"
"F=15096; x=14.215338; y=17.331196; th=1.142724; xr=(13.750000, 17.314286, 1.570796); ur=(0.000000, 1.023533); s=0; e=8";"1";"/run_jackal_0";"51.870000000";"/clock,/gazebo/model_states,/jackal0/jackal_velocity_controller/cmd_vel,/rosout";"ControlJackals.py:telemetry:121"
"F=15095; x=14.215223; y=17.330981; th=1.140580; xr=(13.750000, 17.314286, 1.570796); ur=(0.000000, 1.023533); s=0; e=8";"1";"/run_jackal_0";"51.870000000";"/clock,/gazebo/model_states,/jackal0/jackal_velocity_controller/cmd_vel,/rosout";"ControlJackals.py:telemetry:121"
"F=15094; x=14.215107; y=17.330766; th=1.138431; xr=(13.750000, 17.314286, 1.570796); ur=(0.000000, 1.023533); s=0; e=8";"1";"/run_jackal_0";"51.869000000";"/clock,/gazebo/model_states,/jackal0/jackal_velocity_controller/cmd_vel,/rosout";"ControlJackals.py:telemetry:121"
"F=15093; x=14.214991; y=17.330551; th=1.136275; xr=(13.750000, 17.314286, 1.570796); ur=(0.000000, 1.023533); s=0; e=8";"1";"/run_jackal_0";"51.868000000";"/clock,/gazebo/model_states,/jackal0/jackal_velocity_controller/cmd_vel,/rosout";"ControlJackals.py:telemetry:121"
"F=15092; x=14.214874; y=17.330337; th=1.134115; xr=(13.750000, 17.314286, 1.570796); ur=(0.000000, 1.023533); s=0; e=8";"1";"/run_jackal_0";"51.867000000";"/clock,/gazebo/model_states,/jackal0/jackal_velocity_controller/cmd_vel,/rosout";"ControlJackals.py:telemetry:121"
"F=15091; x=14.214757; y=17.330123; th=1.131950; xr=(13.750000, 17.314286, 1.570796); ur=(0.000000, 1.023533); s=0; e=8";"1";"/run_jackal_0";"51.866000000";"/clock,/gazebo/model_states,/jackal0/jackal_velocity_controller/cmd_vel,/rosout";"ControlJackals.py:telemetry:121"
"F=15090; x=14.214639; y=17.329909; th=1.129780; xr=(13.750000, 17.314286, 1.570796); ur=(0.000000, 1.023533); s=0; e=8";"1";"/run_jackal_0";"51.865000000";"/clock,/gazebo/model_states,/jackal0/jackal_velocity_controller/cmd_vel,/rosout";"ControlJackals.py:telemetry:121"
"F=15089; x=14.214521; y=17.329696; th=1.127606; xr=(13.750000, 17.314286, 1.570796); ur=(0.000000, 1.023533); s=0; e=8";"1";"/run_jackal_0";"51.860000000";"/clock,/gazebo/model_states,/jackal0/jackal_velocity_controller/cmd_vel,/rosout";"ControlJackals.py:telemetry:121"
