t;frame;x;y;z;x_ref;y_ref;z_ref;delta_ref;u_ref;state;ellipse;control;action;delta;u;vx;vy;vz;wx;wy;wz;xr;yr;zr;delr;ur
282.841;8;14.50;14.01;90.40;13.75;13.99;90.00;-0.00;1.00;0;1;0;0;1.40;0.05;-0.00;-0.00;0.00;-0.01;0.00;0.00;13.75;13.99;90.00;-0.00;1.00
282.941;16;14.50;14.01;90.40;13.75;13.99;90.00;-0.00;1.00;0;1;0;0;1.40;0.09;-0.00;-0.00;0.00;-0.00;0.01;0.01;13.75;13.99;90.00;-0.00;1.00
283.041;24;14.50;14.01;92.15;13.75;13.99;90.00;-0.00;1.00;0;1;0;0;1.40;0.13;0.08;-0.00;0.00;0.01;-0.00;1.11;13.75;13.99;90.00;-0.00;1.00
283.141;35;14.50;14.02;100.62;13.75;13.99;90.00;-0.00;1.00;0;1;0;0;1.32;0.17;0.11;-0.02;-0.00;-0.11;-0.11;1.48;13.75;14.04;90.00;-0.00;1.00
283.241;48;14.50;14.04;111.09;13.75;13.99;90.00;-0.00;1.00;0;1;0;0;0.78;0.21;0.15;0.03;-0.00;-0.10;-0.12;1.00;13.75;14.04;90.00;-0.00;1.00
283.341;58;14.49;14.05;113.67;13.75;13.99;90.00;-0.00;1.00;0;1;0;0;0.62;0.25;0.19;0.02;-0.01;0.09;0.16;0.14;13.75;14.04;90.00;-0.00;1.00
283.441;66;14.48;14.07;114.12;13.75;13.99;90.00;-0.00;1.00;0;1;0;0;0.58;0.29;0.25;0.01;-0.01;-0.07;-0.13;0.06;13.75;14.09;90.00;-0.00;1.00
283.541;77;14.47;14.10;114.73;13.75;13.99;90.00;-0.00;1.00;0;1;0;0;0.52;0.32;0.29;-0.01;-0.01;-0.02;-0.04;0.10;13.75;14.09;90.00;-0.00;1.00
283.641;85;14.46;14.12;115.17;13.75;13.99;90.00;-0.00;1.00;0;1;0;0;0.48;0.35;0.31;-0.01;-0.01;0.01;0.02;0.07;13.75;14.09;90.00;-0.00;1.00
283.741;96;14.45;14.15;115.61;13.75;13.99;90.00;-0.00;1.00;0;1;0;0;0.42;0.38;0.34;-0.01;-0.01;0.00;0.01;0.05;13.75;14.15;90.00;-0.00;1.00
283.841;104;14.43;14.18;115.76;13.75;13.99;90.00;-0.00;1.00;0;1;0;0;0.38;0.41;0.37;-0.01;-0.01;0.01;0.02;0.00;13.75;14.20;90.00;-0.00;1.00
283.941;118;14.41;14.23;115.71;13.75;13.99;90.00;-0.00;1.00;0;1;0;0;0.33;0.44;0.41;-0.01;-0.01;-0.04;-0.07;-0.01;13.75;14.25;90.00;0.00;1.00
284.041;127;14.39;14.26;115.60;13.75;13.99;90.00;-0.00;1.00;0;1;0;0;0.29;0.47;0.44;-0.01;-0.01;-0.03;-0.05;-0.04;13.75;14.25;90.00;0.00;1.00
284.141;138;14.37;14.31;115.46;13.75;13.99;90.00;-0.00;1.00;0;1;0;0;0.25;0.49;0.47;-0.01;-0.01;0.06;0.08;0.02;13.75;14.30;90.00;0.00;1.00
284.241;146;14.36;14.35;115.29;13.75;13.99;90.00;-0.00;1.00;0;1;0;0;0.22;0.52;0.49;-0.01;-0.01;0.04;0.06;0.01;13.75;14.36;90.00;0.00;1.00
284.341;155;14.34;14.39;115.12;13.75;13.99;90.00;-0.00;1.00;0;1;0;0;0.18;0.54;0.51;-0.01;-0.01;0.01;0.01;-0.05;13.75;14.41;90.00;0.00;1.00
284.441;165;14.32;14.43;114.81;13.75;13.99;90.00;-0.00;1.00;0;1;0;0;0.15;0.56;0.54;-0.01;-0.01;-0.02;-0.04;-0.09;13.75;14.41;90.00;0.00;1.00
284.541;178;14.29;14.50;114.26;13.75;13.99;90.00;-0.00;1.00;0;1;0;0;0.10;0.59;0.56;-0.01;-0.01;-0.03;-0.05;-0.10;13.75;14.52;90.00;0.00;1.00
284.641;184;14.28;14.53;113.92;13.75;13.99;90.00;-0.00;1.00;0;1;0;0;0.09;0.60;0.58;-0.01;-0.01;-0.01;-0.02;-0.14;13.75;14.52;90.00;0.00;1.00
284.741;197;14.25;14.60;113.18;13.75;13.99;90.00;-0.00;1.00;0;1;0;0;0.05;0.63;0.60;-0.01;-0.01;0.01;0.02;-0.08;13.75;14.62;90.00;0.00;1.00
284.841;207;14.22;14.66;112.53;13.75;13.99;90.00;-0.00;1.00;0;1;0;0;0.03;0.64;0.62;-0.00;-0.01;0.00;0.01;-0.11;13.75;14.67;90.00;0.00;1.00
284.941;218;14.20;14.72;111.79;13.75;13.99;90.00;-0.00;1.00;0;1;0;0;-0.00;0.66;0.64;-0.00;-0.00;-0.02;-0.03;-0.12;13.75;14.73;90.00;0.00;1.00
285.041;226;14.18;14.77;111.25;13.75;13.99;90.00;-0.00;1.00;0;1;0;0;-0.02;0.68;0.65;-0.00;-0.00;0.02;0.03;-0.10;13.75;14.78;90.00;0.00;1.00
285.141;235;14.16;14.83;110.63;13.75;13.99;90.00;-0.00;1.00;0;1;0;0;-0.04;0.69;0.68;-0.00;-0.00;-0.04;-0.06;-0.15;13.75;14.83;90.00;0.00;1.00
285.241;246;14.13;14.90;110.07;13.75;13.99;90.00;-0.00;1.00;0;1;0;0;-0.08;0.71;0.70;0.00;-0.00;-0.00;-0.00;-0.07;13.75;14.89;90.00;0.00;1.00
285.341;254;14.11;14.95;109.65;13.75;13.99;90.00;-0.00;1.00;0;1;0;0;-0.10;0.72;0.70;0.00;0.00;-0.00;-0.00;-0.11;13.75;14.94;90.00;0.00;1.00
285.441;268;14.08;15.05;108.78;13.75;14.94;90.00;0.00;1.00;0;3;0;0;-0.14;0.73;0.72;0.00;0.00;-0.00;-0.00;-0.12;13.75;15.04;90.00;-0.00;1.00
285.541;277;14.06;15.11;107.95;13.75;14.94;90.00;0.00;1.00;0;3;0;0;-0.13;0.74;0.73;0.00;-0.00;0.00;-0.01;-0.15;13.75;15.10;90.00;-0.00;1.00
285.641;288;14.03;15.19;107.18;13.75;15.41;90.00;-0.00;1.00;0;4;0;0;-0.16;0.76;0.75;0.00;-0.01;0.01;-0.01;-0.10;13.75;15.20;90.00;-0.00;1.00
285.741;296;14.02;15.24;106.59;13.75;15.41;90.00;-0.00;1.00;0;4;0;0;-0.17;0.77;0.76;0.00;-0.01;0.01;-0.01;-0.13;13.75;15.25;90.00;-0.00;1.00
285.841;306;13.99;15.32;105.89;13.75;15.41;90.00;-0.00;1.00;0;4;0;0;-0.19;0.78;0.77;0.00;-0.01;0.01;-0.01;-0.11;13.75;15.31;90.00;-0.00;1.00
285.941;316;13.97;15.39;105.19;13.75;15.41;90.00;-0.00;1.00;0;4;0;0;-0.21;0.79;0.77;0.01;-0.01;0.01;-0.01;-0.13;13.75;15.41;90.00;-0.00;1.00
286.041;325;13.95;15.46;104.61;13.75;15.41;90.00;-0.00;1.00;0;4;0;0;-0.22;0.81;0.78;0.03;-0.01;-0.03;0.01;-0.06;13.75;15.47;90.00;-0.00;1.00
286.141;336;13.93;15.54;104.18;13.75;15.89;90.00;-0.00;1.00;0;5;0;0;-0.26;0.81;0.81;0.02;-0.01;-0.00;0.00;-0.07;13.75;15.52;90.00;-0.00;1.00
286.241;344;13.91;15.60;103.50;13.75;15.89;90.00;-0.00;1.00;0;5;0;0;-0.27;0.82;0.82;0.05;-0.05;0.34;0.06;-0.37;13.75;15.62;90.00;-0.00;1.00
286.341;358;13.88;15.72;100.90;13.75;15.89;90.00;-0.00;1.00;0;5;0;0;-0.21;0.83;0.82;0.05;-0.01;0.18;-0.09;-0.36;13.75;15.73;90.00;-0.00;1.00
286.441;367;13.87;15.79;99.93;13.75;15.89;90.00;-0.00;1.00;0;5;0;0;-0.20;0.84;0.84;0.02;-0.01;-0.14;0.07;-0.11;13.75;15.78;90.00;-0.00;1.00
286.551;378;13.85;15.88;98.89;13.75;15.89;90.00;-0.00;1.00;0;5;0;0;-0.20;0.85;0.85;0.04;-0.01;-0.07;0.03;-0.17;13.75;15.89;90.00;-0.00;1.00
286.641;386;13.84;15.95;98.40;13.75;16.36;90.00;-0.00;1.00;0;6;0;0;-0.20;0.86;0.86;0.01;-0.01;-0.17;0.09;-0.09;13.75;15.94;90.00;-0.00;1.00
286.741;397;13.82;16.04;97.25;13.75;16.36;90.00;-0.00;1.00;0;6;0;0;-0.19;0.86;0.87;0.03;-0.01;-0.10;0.06;-0.16;13.75;16.05;90.00;-0.00;1.00
286.841;405;13.81;16.11;96.62;13.75;16.36;90.00;-0.00;1.00;0;6;0;0;-0.18;0.87;0.88;0.04;-0.05;0.33;0.02;-0.25;13.75;16.10;90.00;-0.00;1.00
286.941;414;13.80;16.18;95.91;13.75;16.36;90.00;-0.00;1.00;0;6;0;0;-0.17;0.88;0.88;0.02;-0.02;-0.09;0.04;-0.14;13.75;16.21;90.00;-0.00;1.00
