t;frame;x;y;z;x_ref;y_ref;z_ref;delta_ref;u_ref;state;ellipse;control;action;delta;u;vx;vy;vz;wx;wy;wz;xr;yr;zr;delr;ur
20351.795;9;1.22;-2.13;91.24;1.19;-1.95;90.00;-0.00;0.50;951;1;1;2;0.02;0.01;-0.00;-0.00;0.00;-0.04;-0.02;0.01;1.19;-2.03;90.00;-0.00;0.05
20351.895;16;1.22;-2.13;91.25;1.19;-1.95;90.00;-0.00;0.50;951;1;1;2;0.01;0.03;0.00;0.00;-0.00;0.03;-0.01;-0.01;1.19;-2.03;90.00;-0.00;0.05
20351.995;29;1.22;-2.13;91.26;1.19;-1.95;90.00;-0.00;0.50;951;1;1;2;0.01;0.04;0.00;0.00;0.00;-0.00;-0.00;-0.00;1.19;-2.03;90.00;-0.00;0.05
20352.095;39;1.22;-2.13;91.29;1.19;-1.95;90.00;-0.00;0.50;951;1;1;2;0.01;0.05;0.04;0.00;-0.00;0.02;0.02;0.01;1.19;-2.03;90.00;-0.00;0.05
20352.195;48;1.22;-2.12;91.33;1.19;-1.95;90.00;-0.00;0.50;951;1;1;2;0.01;0.06;0.05;-0.00;0.00;-0.05;0.02;0.01;1.19;-2.03;90.00;-0.00;0.05
20352.295;58;1.22;-2.12;91.34;1.19;-1.95;90.00;-0.00;0.50;951;1;1;2;0.01;0.07;0.07;0.00;-0.00;0.04;0.03;0.01;1.19;-2.03;90.00;-0.00;0.05
20352.395;66;1.22;-2.11;91.36;1.19;-1.95;90.00;-0.00;0.50;951;1;1;2;0.01;0.08;0.07;-0.00;0.00;-0.05;0.01;0.01;1.19;-2.03;90.00;-0.00;0.05
20352.495;77;1.22;-2.10;91.34;1.19;-1.95;90.00;-0.00;0.50;951;1;1;2;0.01;0.09;0.09;-0.01;-0.03;0.26;0.01;0.01;1.19;-2.03;90.00;-0.00;0.05
20352.595;86;1.22;-2.10;91.39;1.19;-1.95;90.00;-0.00;0.50;951;1;1;2;0.01;0.09;0.09;-0.01;0.01;0.00;-0.02;0.00;1.19;-2.03;90.00;-0.00;0.05
20352.695;96;1.22;-2.09;91.40;1.19;-1.95;90.00;-0.00;0.50;951;1;1;2;0.01;0.10;0.09;0.00;0.00;-0.00;0.00;0.00;1.19;-2.03;90.00;-0.00;0.05
