t;frame;x;y;z;x_ref;y_ref;z_ref;delta_ref;u_ref;state;ellipse;control;action;delta;u;vx;vy;vz;wx;wy;wz;xr;yr;zr;delr;ur
1415.895;15;0.71;-2.19;91.46;0.66;-2.16;90.00;-0.00;0.50;726;0;1;0;0.05;0.03;-0.00;-0.00;-0.00;0.00;0.01;0.02;0.66;-2.16;90.00;-0.00;0.50;0.075
1415.945;16;0.71;-2.19;91.47;0.66;-2.16;90.00;-0.00;0.50;726;0;1;0;0.05;0.05;-0.00;-0.00;0.00;-0.00;-0.01;0.01;0.66;-2.16;90.00;-0.00;0.50;0.016
1416.045;30;0.71;-2.19;91.49;0.66;-2.16;90.00;-0.00;0.50;726;0;1;0;0.05;0.08;-0.00;-0.00;-0.00;0.01;-0.01;0.01;0.66;-2.16;90.00;-0.00;0.50;0.025
1416.165;39;0.71;-2.18;91.61;0.66;-2.16;90.00;-0.00;0.50;726;0;1;0;0.04;0.10;0.08;-0.00;0.00;-0.01;-0.00;0.01;0.66;-2.16;90.00;-0.00;0.50;0.041
1416.245;48;0.71;-2.17;91.66;0.66;-2.16;90.00;-0.00;0.50;726;0;1;0;0.04;0.12;0.10;0.00;0.00;-0.00;0.00;0.01;0.66;-2.16;90.00;-0.00;0.50;0.025
1416.345;58;0.71;-2.16;91.70;0.66;-2.16;90.00;-0.00;0.50;726;0;1;0;0.03;0.14;0.12;0.00;-0.00;0.02;-0.01;-0.00;0.66;-2.16;90.00;-0.00;0.50;0.025
1416.435;67;0.71;-2.15;91.74;0.66;-2.16;90.00;-0.00;0.50;726;0;1;0;0.03;0.16;0.14;0.00;0.00;-0.02;0.01;0.01;0.66;-2.16;90.00;-0.00;0.50;0.015
1416.555;77;0.71;-2.14;91.77;0.66;-2.16;90.00;-0.00;0.50;726;0;1;0;0.03;0.17;0.16;-0.00;0.00;-0.02;0.01;0.01;0.66;-2.13;90.00;0.00;0.50;0.034
1416.665;90;0.71;-2.11;91.78;0.66;-2.16;90.00;-0.00;0.50;726;0;1;0;0.03;0.19;0.18;0.00;0.00;-0.00;0.00;0.01;0.66;-2.12;90.00;0.00;0.50;0.041
1416.765;100;0.71;-2.10;91.80;0.66;-1.86;90.00;0.00;0.50;726;1;1;0;0.02;0.20;0.19;0.00;0.00;0.00;-0.00;0.01;0.66;-2.11;90.00;0.00;0.50;0.036
1416.845;109;0.71;-2.08;91.80;0.66;-1.86;90.00;0.00;0.50;726;1;1;0;0.02;0.22;0.20;-0.00;0.00;0.00;-0.00;0.00;0.66;-2.09;90.00;0.00;0.50;0.020
1416.935;118;0.71;-2.06;91.81;0.66;-1.86;90.00;0.00;0.50;726;1;1;0;0.02;0.23;0.22;0.00;0.00;0.00;-0.00;0.01;0.66;-2.06;90.00;0.00;0.50;0.014
1417.055;128;0.71;-2.04;91.82;0.66;-1.86;90.00;0.00;0.50;726;1;1;0;0.02;0.24;0.23;0.00;0.00;0.00;-0.00;0.01;0.66;-2.05;90.00;0.00;0.50;0.035
1417.145;138;0.70;-2.01;91.81;0.66;-1.86;90.00;0.00;0.50;726;1;1;0;0.02;0.25;0.24;-0.00;-0.00;0.03;-0.01;-0.01;0.66;-2.01;90.00;0.00;0.50;0.021
1417.255;147;0.70;-1.99;91.80;0.66;-1.86;90.00;0.00;0.50;726;1;1;0;0.02;0.27;0.25;0.00;0.00;-0.01;0.00;0.00;0.66;-1.99;90.00;0.00;0.50;0.026
1417.335;157;0.70;-1.97;91.81;0.66;-1.86;90.00;0.00;0.50;726;1;1;0;0.01;0.28;0.27;-0.00;-0.00;0.05;-0.03;-0.02;0.66;-1.97;90.00;0.00;0.50;0.011
1417.445;165;0.70;-1.94;91.83;0.66;-1.86;90.00;0.00;0.50;726;1;1;0;0.01;0.29;0.28;-0.00;0.00;-0.00;-0.00;0.01;0.66;-1.94;90.00;0.00;0.50;0.011
1417.535;176;0.70;-1.91;91.81;0.66;-1.86;90.00;0.00;0.50;726;1;1;0;0.01;0.30;0.28;0.00;-0.00;-0.04;0.03;-0.01;0.66;-1.92;90.00;0.00;0.50;0.013
1417.645;189;0.70;-1.87;91.76;0.66;-1.86;90.00;0.00;0.50;726;1;1;0;0.01;0.30;0.30;0.00;-0.00;0.02;-0.01;-0.01;0.66;-1.89;90.00;0.00;0.50;0.020
1417.755;199;0.70;-1.84;91.73;0.66;-1.86;90.00;0.00;0.50;726;1;1;0;0.01;0.30;0.30;0.00;-0.00;0.02;-0.01;-0.01;0.66;-1.86;90.00;0.00;0.50;0.032
1417.845;207;0.70;-1.82;91.72;0.66;-1.86;90.00;0.00;0.50;726;1;1;0;0.01;0.30;0.30;-0.00;-0.00;0.04;-0.02;-0.01;0.66;-1.82;90.00;0.00;0.50;0.022
1417.955;217;0.70;-1.79;91.72;0.66;-1.56;90.00;-0.00;0.50;726;2;1;0;0.00;0.30;0.30;-0.00;-0.00;0.04;-0.02;-0.01;0.66;-1.78;90.00;0.00;0.50;0.027
