t;frame;x;y;z;x_ref;y_ref;z_ref;delta_ref;u_ref;state;ellipse;control;action;delta;u;vx;vy;vz;wx;wy;wz;xr;yr;zr;delr;ur;obs1x;obs1y;obs2x;obs2y
2222.875;11;1.10;-0.30;-0.10;0.85;-0.35;-0.00;0.00;-0.50;403;1;1;2;-0.13;-0.04;0.00;0.00;-0.00;0.00;0.00;0.00;0.95;-0.35;0.00;0.00;-0.50;0.083;2.30;2.05;-1000.00;-1000.00
2222.935;16;1.10;-0.30;-0.07;0.85;-0.35;-0.00;0.00;-0.50;403;1;1;2;-0.13;-0.08;-0.03;-0.00;-0.00;-0.00;0.00;0.02;0.95;-0.35;0.00;0.00;-0.50;0.030;2.30;2.05;-1000.00;-1000.00
2223.045;24;1.10;-0.30;0.07;0.85;-0.35;-0.00;0.00;-0.50;403;1;1;2;-0.12;-0.12;-0.08;0.00;-0.00;0.00;-0.01;0.03;0.95;-0.35;0.00;0.00;-0.50;0.034;2.30;2.05;-1000.00;-1000.00
2223.135;34;1.09;-0.30;0.19;0.85;-0.35;-0.00;0.00;-0.50;403;1;1;2;-0.11;-0.15;-0.11;-0.00;0.00;-0.01;-0.02;0.02;0.95;-0.35;0.00;0.00;-0.50;0.031;2.30;2.05;-1000.00;-1000.00
2223.235;44;1.07;-0.30;0.33;0.85;-0.35;-0.00;0.00;-0.50;403;1;1;2;-0.11;-0.18;-0.15;0.00;-0.00;0.02;0.04;0.03;0.95;-0.35;0.00;0.00;-0.50;0.032;2.31;2.05;-1000.00;-1000.00
2223.335;53;1.06;-0.30;0.53;0.85;-0.35;-0.00;0.00;-0.50;403;1;1;2;-0.10;-0.21;-0.18;-0.00;0.00;0.00;-0.00;0.04;0.95;-0.35;0.00;0.00;-0.50;0.033;2.31;2.05;-1000.00;-1000.00
2223.455;68;1.03;-0.30;0.86;0.85;-0.35;-0.00;0.00;-0.50;403;1;1;2;-0.08;-0.23;-0.21;0.00;0.00;0.00;-0.00;0.03;0.95;-0.35;0.00;0.00;-0.50;0.043;2.31;2.05;-1000.00;-1000.00
2223.545;78;1.01;-0.30;0.99;0.76;-0.35;-0.00;0.00;-0.50;403;2;1;2;-0.07;-0.25;-0.23;0.00;0.00;0.00;-0.00;0.02;0.95;-0.35;0.00;0.00;-0.50;0.045;2.31;2.05;-1000.00;-1000.00
2223.615;83;0.99;-0.30;1.03;0.76;-0.35;-0.00;0.00;-0.50;403;2;1;2;-0.07;-0.27;-0.25;-0.00;0.00;0.00;-0.00;0.01;0.95;-0.35;0.00;0.00;-0.50;0.025;2.31;2.05;-1000.00;-1000.00
2223.755;96;0.96;-0.30;1.14;0.76;-0.35;-0.00;0.00;-0.50;403;2;1;2;-0.06;-0.28;-0.27;0.00;0.00;0.00;-0.00;0.01;0.95;-0.35;0.00;0.00;-0.50;0.053;2.31;2.05;-1000.00;-1000.00
