t;frame;x;y;z;x_ref;y_ref;z_ref;delta_ref;u_ref;state;ellipse;control;action;delta;u;vx;vy;vz;wx;wy;wz;xr;yr;zr;delr;ur
1578426587.135;7;0.78;-2.26;84.62;0.69;-1.96;90.00;0.00;1.00;0;1;0;0;0.47;0.03;0.00;0.00;0.00;-0.00;0.01;0.00;0.69;-2.03;90.00;0.00;0.07
1578426587.234;19;0.78;-2.26;84.62;0.69;-1.96;90.00;0.00;1.00;0;1;0;0;0.47;0.06;0.00;0.00;0.00;-0.00;0.01;0.00;0.69;-2.03;90.00;0.00;0.07
1578426587.334;31;0.78;-2.26;84.63;0.69;-1.96;90.00;0.00;1.00;0;1;0;0;0.47;0.09;0.00;0.00;0.00;-0.00;-0.00;0.01;0.69;-2.03;90.00;0.00;0.07
1578426587.434;43;0.78;-2.26;84.96;0.69;-1.96;90.00;0.00;1.00;0;1;0;0;0.46;0.11;0.03;0.00;0.00;-0.00;0.01;0.03;0.69;-2.03;90.00;0.00;0.07
1578426587.534;55;0.78;-2.25;85.19;0.69;-1.96;90.00;0.00;1.00;0;1;0;0;0.45;0.14;0.04;0.00;0.00;-0.00;0.01;0.06;0.69;-2.03;90.00;0.00;0.07
1578426587.634;66;0.78;-2.24;85.68;0.69;-1.96;90.00;0.00;1.00;0;1;0;0;0.42;0.16;0.09;0.00;0.00;-0.00;0.01;0.08;0.69;-2.03;90.00;0.00;0.07
1578426587.734;79;0.78;-2.23;86.34;0.69;-1.96;90.00;0.00;1.00;0;1;0;0;0.39;0.18;0.12;0.00;0.00;-0.00;0.01;0.10;0.69;-2.03;90.00;0.00;0.07
1578426587.834;91;0.78;-2.22;87.03;0.69;-1.96;90.00;0.00;1.00;0;1;0;0;0.36;0.19;0.14;0.00;0.00;-0.00;0.01;0.11;0.69;-2.03;90.00;0.00;0.07
1578426587.934;102;0.78;-2.20;87.58;0.69;-1.96;90.00;0.00;1.00;0;1;0;0;0.33;0.21;0.16;0.00;0.00;-0.00;0.00;0.11;0.69;-2.03;90.00;0.00;0.07
1578426588.034;115;0.78;-2.19;88.31;0.69;-1.96;90.00;0.00;1.00;0;1;0;0;0.30;0.22;0.17;0.00;0.00;-0.01;-0.00;0.11;0.69;-2.03;90.00;0.00;0.07
