t;frame;x;y;z;x_ref;y_ref;z_ref;delta_ref;u_ref;state;ellipse;control;action;delta;u;vx;vy;vz;wx;wy;wz;xr;yr;zr;delr;ur
1578497208.453;7;1.19;-2.18;89.43;1.19;-1.95;90.00;-0.00;0.50;0;1;0;2;0.02;0.02;0.00;0.00;0.00;-0.00;0.00;0.00;1.19;-2.03;90.00;-0.00;0.05
1578497208.552;20;1.19;-2.18;89.37;1.19;-1.95;90.00;-0.00;0.50;0;1;0;2;0.03;0.04;0.00;0.00;0.00;-0.00;0.00;0.00;1.19;-2.03;90.00;-0.00;0.05
1578497208.652;32;1.19;-2.18;89.37;1.19;-1.95;90.00;-0.00;0.50;0;1;0;2;0.03;0.06;0.00;0.00;0.00;-0.00;0.00;0.00;1.19;-2.03;90.00;-0.00;0.05
1578497208.753;43;1.19;-2.18;89.43;1.19;-1.95;90.00;-0.00;0.50;0;1;0;2;0.02;0.07;0.01;0.00;0.00;-0.00;-0.00;-0.00;1.19;-2.03;90.00;-0.00;0.05
1578497208.852;56;1.19;-2.17;89.46;1.19;-1.95;90.00;-0.00;0.50;0;1;0;2;0.02;0.09;0.02;0.00;0.00;0.00;0.02;0.01;1.19;-2.03;90.00;-0.00;0.05
1578497208.953;68;1.18;-2.17;89.48;1.19;-1.95;90.00;-0.00;0.50;0;1;0;2;0.02;0.10;0.06;0.00;0.00;-0.00;0.01;-0.00;1.19;-2.03;90.00;-0.00;0.05
1578497209.052;80;1.19;-2.16;89.58;1.19;-1.95;90.00;-0.00;0.50;0;1;0;2;0.02;0.12;0.09;0.00;0.00;-0.00;0.01;0.01;1.19;-2.03;90.00;-0.00;0.05
1578497209.152;92;1.19;-2.15;89.61;1.19;-1.95;90.00;-0.00;0.50;0;1;0;2;0.02;0.13;0.09;0.00;0.00;0.00;0.00;0.01;1.19;-2.03;90.00;-0.00;0.05
1578497209.253;104;1.19;-2.14;89.73;1.19;-1.95;90.00;-0.00;0.50;0;1;0;2;0.01;0.14;0.10;0.00;0.00;0.00;0.00;0.01;1.19;-2.03;90.00;-0.00;0.05
1578497209.352;116;1.19;-2.13;89.76;1.19;-1.95;90.00;-0.00;0.50;0;1;0;2;0.01;0.14;0.12;0.00;0.00;0.00;-0.00;0.01;1.19;-2.03;90.00;-0.00;0.05
1578497209.452;128;1.19;-2.12;89.78;1.19;-1.95;90.00;-0.00;0.50;0;1;0;2;0.01;0.15;0.09;0.00;0.00;0.00;0.00;0.01;1.19;-2.03;90.00;-0.00;0.05
1578497209.553;140;1.19;-2.11;89.76;1.19;-1.95;90.00;-0.00;0.50;0;1;0;2;0.01;0.15;0.13;0.00;0.00;0.00;0.01;0.01;1.19;-2.03;90.00;-0.00;0.05
1578497209.652;152;1.19;-2.10;89.75;1.19;-1.95;90.00;-0.00;0.50;0;1;0;2;0.01;0.16;0.14;0.00;0.00;-0.00;0.01;0.00;1.19;-2.03;90.00;-0.00;0.05
1578497209.752;164;1.19;-2.08;89.87;1.19;-1.95;90.00;-0.00;0.50;0;1;0;2;0.00;0.16;0.11;0.00;0.00;0.00;0.01;0.01;1.19;-2.03;90.00;-0.00;0.05
1578497209.852;176;1.19;-2.07;89.91;1.19;-1.95;90.00;-0.00;0.50;0;1;0;2;0.00;0.16;0.15;0.00;0.00;0.00;0.00;0.01;1.19;-2.03;90.00;-0.00;0.05
1578497209.952;188;1.19;-2.06;89.98;1.19;-1.95;90.00;-0.00;0.50;0;1;0;2;0.00;0.15;0.15;0.00;0.00;0.00;0.01;0.01;1.19;-2.03;90.00;-0.00;0.05
1578497210.052;200;1.19;-2.05;90.03;1.19;-1.95;90.00;-0.00;0.50;0;1;0;2;-0.00;0.15;0.15;0.00;0.00;-0.00;0.00;0.01;1.19;-2.03;90.00;-0.00;0.05
1578497210.153;212;1.19;-2.03;89.91;1.19;-1.95;90.00;-0.00;0.50;0;1;0;2;0.00;0.15;0.14;0.00;0.00;-0.00;0.01;-0.00;1.19;-2.03;90.00;-0.00;0.05
1578497210.253;224;1.19;-2.02;89.98;1.19;-1.95;90.00;-0.00;0.50;0;1;0;2;0.01;0.15;0.14;0.00;0.00;-0.00;0.00;0.00;1.19;-2.02;90.00;-0.00;0.18
1578497210.352;236;1.19;-2.01;90.02;1.19;-1.95;90.00;-0.00;0.50;0;1;0;2;-0.00;0.15;0.14;0.00;0.00;-0.00;0.00;0.01;1.19;-2.01;90.00;-0.00;0.27
1578497210.453;248;1.19;-2.00;90.01;1.19;-1.95;90.00;-0.00;0.50;0;1;0;2;-0.00;0.16;0.14;0.00;0.00;0.00;-0.00;0.01;1.19;-2.00;90.00;-0.00;0.33
1578497210.553;260;1.19;-1.98;90.01;1.19;-1.79;90.00;0.00;0.50;0;2;0;2;0.00;0.17;0.14;0.00;0.00;-0.00;0.01;0.01;1.19;-1.98;90.00;-0.00;0.39
1578497210.652;272;1.19;-1.97;90.00;1.19;-1.79;90.00;0.00;0.50;0;2;0;2;0.00;0.19;0.12;0.00;0.00;0.00;0.00;0.01;1.19;-1.97;90.00;-0.00;0.44
1578497210.752;284;1.19;-1.95;89.99;1.19;-1.79;90.00;0.00;0.50;0;2;0;2;0.00;0.20;0.12;0.00;0.00;-0.00;0.01;-0.00;1.19;-1.95;90.00;-0.00;0.49
1578497210.852;296;1.19;-1.94;89.98;1.19;-1.79;90.00;0.00;0.50;0;2;0;2;0.00;0.21;0.17;0.00;0.00;0.00;0.01;0.00;1.19;-1.94;90.00;0.00;0.50
1578497210.953;308;1.19;-1.92;90.00;1.16;-1.57;107.65;0.79;0.50;1;1;1;5;0.00;0.23;0.19;0.00;0.00;-0.00;0.02;0.00;1.19;-1.92;90.00;0.00;0.50
1578497211.053;320;1.19;-1.90;90.04;1.16;-1.57;107.65;0.79;0.50;1;1;0;5;-0.24;0.23;0.20;0.00;0.00;-0.00;0.01;0.01;1.19;-1.78;89.97;0.10;0.06
1578497211.153;332;1.19;-1.88;89.68;1.16;-1.57;107.65;0.79;0.50;1;1;0;5;-0.17;0.24;0.22;0.00;0.00;-0.00;0.01;-0.04;1.19;-1.78;89.97;0.10;0.06
1578497211.253;344;1.19;-1.86;89.57;1.16;-1.57;107.65;0.79;0.50;1;1;0;5;-0.10;0.24;0.23;0.00;0.00;-0.01;0.02;-0.03;1.19;-1.78;89.97;0.10;0.06
1578497211.353;356;1.19;-1.84;89.03;1.16;-1.57;107.65;0.79;0.50;1;1;0;5;-0.03;0.24;0.23;0.00;0.00;-0.01;0.01;-0.04;1.19;-1.78;89.97;0.10;0.06
1578497211.453;368;1.19;-1.82;88.94;1.16;-1.57;107.65;0.79;0.50;1;1;0;5;0.03;0.24;0.23;0.00;0.00;0.00;-0.00;-0.00;1.19;-1.78;89.97;0.10;0.06
1578497211.553;380;1.19;-1.80;89.01;1.16;-1.57;107.65;0.79;0.50;1;1;0;5;0.07;0.23;0.24;0.00;0.00;-0.00;-0.00;0.00;1.19;-1.78;89.97;0.10;0.06
1578497211.653;392;1.19;-1.78;89.01;1.16;-1.57;107.65;0.79;0.50;1;1;0;5;0.13;0.22;0.23;0.00;0.00;-0.00;0.00;0.02;1.19;-1.78;89.97;0.10;0.06
1578497211.753;404;1.19;-1.76;89.07;1.16;-1.57;107.65;0.79;0.50;1;1;0;5;0.30;0.22;0.23;0.00;0.00;0.00;0.00;0.03;1.19;-1.76;90.29;0.26;0.17
1578497211.853;416;1.19;-1.74;89.74;1.16;-1.57;107.65;0.79;0.50;1;1;0;5;0.40;0.23;0.22;0.00;0.00;0.00;0.02;0.07;1.19;-1.74;91.10;0.36;0.23
1578497211.953;428;1.19;-1.72;90.75;1.16;-1.57;107.65;0.79;0.50;1;1;0;5;0.48;0.23;0.22;0.00;0.00;-0.00;-0.01;0.16;1.19;-1.72;92.19;0.43;0.27
1578497212.052;440;1.19;-1.70;91.86;1.16;-1.57;107.65;0.79;0.50;1;1;0;5;0.53;0.23;0.22;0.00;0.00;0.00;-0.01;0.22;1.19;-1.70;93.21;0.48;0.30
1578497212.153;452;1.19;-1.68;93.36;1.16;-1.57;107.65;0.79;0.50;1;1;0;5;0.61;0.24;0.23;0.00;0.00;-0.00;-0.01;0.25;1.19;-1.68;95.24;0.55;0.35
1578497212.253;464;1.18;-1.66;95.04;1.16;-1.57;107.65;0.79;0.50;1;1;0;5;0.67;0.25;0.23;0.00;0.00;-0.00;0.00;0.30;1.18;-1.66;96.98;0.59;0.38
1578497212.352;476;1.18;-1.64;97.21;1.16;-1.57;107.65;0.79;0.50;1;1;0;5;0.72;0.26;0.24;0.00;0.00;-0.00;0.01;0.37;1.18;-1.64;99.06;0.64;0.41
1578497212.452;488;1.18;-1.62;99.68;1.16;-1.57;107.65;0.79;0.50;1;1;0;5;0.76;0.27;0.25;0.00;0.00;0.00;0.01;0.44;1.17;-1.62;101.51;0.69;0.44
1578497212.552;500;1.17;-1.60;102.58;1.16;-1.57;107.65;0.79;0.50;1;1;0;5;0.79;0.28;0.32;0.00;0.00;0.00;0.01;0.49;1.17;-1.60;104.36;0.74;0.47
1578497212.653;512;1.16;-1.58;105.87;1.16;-1.57;107.65;0.79;0.50;1;1;0;5;0.79;0.29;0.27;0.00;0.00;-0.01;0.01;0.54;1.16;-1.57;107.65;0.79;0.50
1578497212.753;524;1.15;-1.55;109.32;0.87;-1.29;163.49;0.75;0.50;1;2;0;5;0.79;0.31;0.28;0.00;0.00;-0.01;0.00;0.60;1.15;-1.55;111.15;0.78;0.50
1578497212.853;536;1.14;-1.53;112.92;0.87;-1.29;163.49;0.75;0.50;1;2;0;5;0.79;0.32;0.30;0.00;0.00;-0.00;0.01;0.63;1.14;-1.53;114.63;0.78;0.50
1578497212.953;548;1.13;-1.51;116.65;0.87;-1.29;163.49;0.75;0.50;1;2;0;5;0.79;0.33;0.31;0.00;0.00;-0.02;0.01;0.65;1.13;-1.50;118.10;0.78;0.50
1578497213.053;560;1.12;-1.48;120.54;0.87;-1.29;163.49;0.75;0.50;1;2;0;5;0.79;0.34;0.32;0.00;0.00;-0.02;0.02;0.68;1.12;-1.48;121.56;0.78;0.50
1578497213.153;572;1.10;-1.46;124.58;0.87;-1.29;163.49;0.75;0.50;1;2;0;5;0.79;0.35;0.33;0.00;0.00;-0.01;0.00;0.71;1.10;-1.46;125.00;0.77;0.50
1578497213.252;584;1.08;-1.44;128.80;0.87;-1.29;163.49;0.75;0.50;1;2;0;5;0.79;0.36;0.33;0.00;0.00;-0.01;0.00;0.73;1.08;-1.43;130.13;0.77;0.50
1578497213.352;596;1.06;-1.42;133.21;0.87;-1.29;163.49;0.75;0.50;1;2;0;5;0.77;0.36;0.34;0.00;0.00;-0.02;-0.01;0.76;1.06;-1.41;133.54;0.77;0.50
1578497213.453;608;1.03;-1.39;137.55;0.87;-1.29;163.49;0.75;0.50;1;2;0;5;0.74;0.37;0.44;0.00;0.00;-0.00;0.01;0.76;1.04;-1.39;136.92;0.77;0.50
1578497213.553;620;1.01;-1.37;141.81;0.87;-1.29;163.49;0.75;0.50;1;2;0;5;0.75;0.37;0.36;0.00;0.00;-0.00;0.05;0.75;1.02;-1.37;141.98;0.76;0.50
