t;frame;x;y;z;x_ref;y_ref;z_ref;delta_ref;u_ref;state;ellipse;control;action;delta;u;vx;vy;vz;wx;wy;wz;xr;yr;zr;delr;ur
7.805;9;1.22;-2.13;90.03;1.19;-1.95;90.00;-0.00;0.50;0;1;0;2;0.08;0.03;0.00;0.00;-0.00;-0.00;0.00;0.00;1.19;-2.03;90.00;-0.00;0.05
7.905;16;1.22;-2.12;90.03;1.19;-1.95;90.00;-0.00;0.50;0;1;0;2;0.08;0.05;0.00;0.00;-0.00;-0.00;0.00;0.00;1.19;-2.03;90.00;-0.00;0.05
8.005;28;1.22;-2.12;90.10;1.19;-1.95;90.00;-0.00;0.50;0;1;0;2;0.07;0.07;0.05;-0.00;-0.00;-0.05;-0.03;0.01;1.19;-2.03;90.00;-0.00;0.05
8.105;39;1.22;-2.11;90.17;1.19;-1.95;90.00;-0.00;0.50;0;1;0;2;0.07;0.08;0.07;0.00;-0.00;0.02;-0.01;0.02;1.19;-2.03;90.00;-0.00;0.05
8.205;48;1.22;-2.11;90.25;1.19;-1.95;90.00;-0.00;0.50;0;1;0;2;0.07;0.10;0.08;0.00;0.00;-0.04;0.02;0.00;1.19;-2.03;90.00;-0.00;0.05
8.305;58;1.22;-2.10;90.29;1.19;-1.95;90.00;-0.00;0.50;0;1;0;2;0.07;0.11;0.10;-0.00;-0.00;-0.04;0.02;0.02;1.19;-2.03;90.00;-0.00;0.05
8.405;67;1.22;-2.09;90.39;1.19;-1.95;90.00;-0.00;0.50;0;1;0;2;0.06;0.12;0.11;0.00;0.01;0.00;0.01;0.03;1.19;-2.03;90.00;-0.00;0.05
8.505;77;1.22;-2.08;90.47;1.19;-1.95;90.00;-0.00;0.50;0;1;0;2;0.06;0.12;0.12;-0.00;0.00;0.01;-0.01;0.01;1.19;-2.03;90.00;-0.00;0.05
8.605;86;1.22;-2.07;90.54;1.19;-1.95;90.00;-0.00;0.50;0;1;0;2;0.06;0.12;0.12;0.00;0.00;0.00;0.00;0.01;1.19;-2.03;90.00;-0.00;0.05
8.705;96;1.22;-2.05;90.59;1.19;-1.95;90.00;-0.00;0.50;0;1;0;2;0.05;0.12;0.12;0.00;-0.00;-0.00;-0.00;0.01;1.19;-2.03;90.00;-0.00;0.05
8.805;105;1.22;-2.04;90.62;1.19;-1.95;90.00;-0.00;0.50;0;1;0;2;0.05;0.12;0.12;0.00;-0.00;0.00;0.00;0.01;1.19;-2.03;90.00;-0.00;0.05
8.905;115;1.22;-2.03;90.65;1.19;-1.95;90.00;-0.00;0.50;0;1;0;2;0.05;0.11;0.12;0.00;-0.00;0.00;0.00;0.00;1.19;-2.03;90.00;-0.00;0.07
9.005;126;1.22;-2.02;90.66;1.19;-1.95;90.00;-0.00;0.50;0;1;0;2;0.05;0.12;0.11;0.00;-0.00;0.00;0.00;0.00;1.19;-2.02;90.00;-0.00;0.21
9.105;138;1.22;-2.00;90.68;1.19;-1.95;90.00;-0.00;0.50;0;1;0;2;0.05;0.14;0.12;0.00;-0.00;-0.00;-0.00;0.00;1.19;-2.01;90.00;-0.00;0.29
9.205;149;1.22;-1.99;90.70;1.19;-1.95;90.00;-0.00;0.50;0;1;0;2;0.05;0.16;0.14;0.00;-0.00;-0.00;0.00;0.00;1.19;-1.99;90.00;-0.00;0.36
9.305;157;1.22;-1.98;90.72;1.19;-1.79;90.00;0.00;0.50;0;2;0;2;0.04;0.18;0.16;0.00;0.00;-0.00;0.00;0.00;1.19;-1.98;90.00;-0.00;0.41
9.405;168;1.22;-1.96;90.73;1.19;-1.79;90.00;0.00;0.50;0;2;0;2;0.04;0.21;0.18;-0.00;0.00;-0.00;-0.00;0.00;1.19;-1.96;90.00;-0.00;0.48
9.505;176;1.22;-1.94;90.72;1.19;-1.79;90.00;0.00;0.50;0;2;0;2;0.04;0.23;0.21;0.00;0.00;-0.00;-0.00;0.01;1.19;-1.94;90.00;0.00;0.50
9.605;185;1.22;-1.92;90.74;1.16;-1.57;107.65;0.79;0.50;1;1;1;5;0.04;0.26;0.24;-0.00;0.00;0.02;-0.01;0.00;1.19;-1.92;90.00;0.00;0.50
9.705;195;1.22;-1.90;90.77;1.16;-1.57;107.65;0.79;0.50;1;1;0;5;-0.23;0.27;0.26;-0.00;0.00;0.00;-0.00;0.00;1.19;-1.78;89.97;0.10;0.06
9.805;209;1.22;-1.86;90.08;1.16;-1.57;107.65;0.79;0.50;1;1;0;5;-0.10;0.27;0.27;0.00;0.00;0.04;0.02;-0.12;1.19;-1.78;89.97;0.10;0.06
9.905;218;1.22;-1.84;89.81;1.16;-1.57;107.65;0.79;0.50;1;1;0;5;-0.03;0.26;0.27;0.00;0.00;-0.01;-0.00;-0.04;1.19;-1.78;89.97;0.10;0.06
10.005;227;1.22;-1.81;89.82;1.16;-1.57;107.65;0.79;0.50;1;1;0;5;0.04;0.25;0.26;0.00;-0.00;-0.00;-0.00;0.02;1.19;-1.78;89.97;0.10;0.06
10.105;237;1.22;-1.79;90.07;1.16;-1.57;107.65;0.79;0.50;1;1;0;5;0.10;0.24;0.25;-0.01;0.00;-0.00;-0.00;0.05;1.19;-1.78;89.97;0.10;0.06
10.205;245;1.22;-1.77;90.33;1.16;-1.57;107.65;0.79;0.50;1;1;0;5;0.23;0.23;0.24;0.00;0.00;-0.00;0.00;0.06;1.19;-1.77;90.09;0.21;0.14
10.305;256;1.22;-1.74;90.82;1.16;-1.57;107.65;0.79;0.50;1;1;0;5;0.36;0.23;0.23;-0.00;-0.00;0.04;-0.02;0.10;1.19;-1.74;90.83;0.33;0.21
10.405;269;1.22;-1.71;91.92;1.16;-1.57;107.65;0.79;0.50;1;1;0;5;0.51;0.24;0.23;-0.00;0.00;0.00;0.00;0.16;1.19;-1.71;92.67;0.45;0.29
10.505;279;1.22;-1.69;93.22;1.16;-1.57;107.65;0.79;0.50;1;1;0;5;0.57;0.24;0.24;-0.00;-0.00;0.00;0.00;0.22;1.19;-1.70;93.82;0.50;0.32
10.605;288;1.22;-1.67;94.43;1.16;-1.57;107.65;0.79;0.50;1;1;0;5;0.67;0.26;0.25;-0.00;-0.01;0.00;0.00;0.22;1.18;-1.67;96.07;0.57;0.36
10.705;298;1.21;-1.64;96.13;1.16;-1.57;107.65;0.79;0.50;1;1;0;5;0.75;0.27;0.25;-0.02;-0.01;-0.04;-0.04;0.31;1.18;-1.65;97.98;0.62;0.39
10.805;306;1.21;-1.62;97.79;1.16;-1.57;107.65;0.79;0.50;1;1;0;5;0.79;0.29;0.26;-0.01;-0.01;0.03;0.03;0.37;1.18;-1.63;100.24;0.67;0.42
10.905;317;1.21;-1.59;100.11;1.16;-1.57;107.65;0.79;0.50;1;1;0;5;0.79;0.31;0.32;-0.05;-0.04;0.30;0.08;0.57;1.17;-1.60;104.36;0.74;0.47
11.005;325;1.20;-1.57;102.42;0.87;-1.29;163.49;0.75;0.50;1;2;0;5;0.79;0.34;0.30;-0.01;-0.01;0.04;0.05;0.48;1.16;-1.57;107.65;0.79;0.50
11.105;336;1.20;-1.53;105.13;0.87;-1.29;163.49;0.75;0.50;1;2;0;5;0.79;0.38;0.34;-0.00;0.00;-0.11;-0.12;0.41;1.15;-1.55;111.15;0.78;0.50
11.205;348;1.19;-1.49;108.93;0.87;-1.29;163.49;0.75;0.50;1;2;0;5;0.79;0.42;0.37;-0.05;-0.07;-0.06;-0.27;0.64;1.14;-1.51;116.37;0.78;0.50
11.305;359;1.18;-1.45;113.63;0.87;-1.29;163.49;0.75;0.50;1;2;0;5;0.79;0.45;0.41;-0.05;-0.01;0.04;0.08;0.73;1.12;-1.48;121.56;0.78;0.50
11.405;367;1.16;-1.41;116.39;0.87;-1.29;163.49;0.75;0.50;1;2;0;5;0.79;0.49;0.47;-0.02;-0.01;-0.04;-0.04;0.49;1.10;-1.46;125.00;0.77;0.50
11.505;377;1.14;-1.37;119.68;0.87;-1.29;163.49;0.75;0.50;1;2;0;5;0.79;0.50;0.51;-0.07;-0.03;0.18;0.13;0.77;1.08;-1.43;130.13;0.77;0.50
11.605;388;1.12;-1.32;124.19;0.87;-1.29;163.49;0.75;0.50;1;2;0;5;0.79;0.50;0.52;-0.06;-0.01;-0.02;-0.04;0.61;1.04;-1.39;136.92;0.77;0.50
11.705;396;1.10;-1.28;127.28;0.87;-1.29;163.49;0.75;0.50;1;2;0;5;0.79;0.50;0.54;-0.10;-0.01;0.03;0.06;0.80;1.03;-1.37;140.29;0.76;0.50
11.805;405;1.07;-1.24;131.04;0.87;-1.29;163.49;0.75;0.50;1;2;0;5;0.79;0.50;0.55;-0.09;-0.01;0.00;-0.01;0.66;0.99;-1.35;145.33;0.76;0.50
11.905;416;1.04;-1.19;135.95;0.87;-1.29;163.49;0.75;0.50;1;2;0;5;0.79;0.50;0.55;-0.11;-0.01;0.02;0.02;0.73;0.96;-1.33;150.32;0.76;0.50
