t;frame;x;y;z;x_ref;y_ref;z_ref;delta_ref;u_ref;state;ellipse;control;action;delta;u;vx;vy;vz;wx;wy;wz;xr;yr;zr;delr;ur
117.615;9;1.31;-2.17;103.23;1.19;-1.95;90.00;-0.00;0.50;0;1;0;2;-0.34;0.02;0.00;0.00;-0.00;0.02;-0.01;-0.01;1.19;-2.03;90.00;-0.00;0.05
117.705;16;1.31;-2.17;103.24;1.19;-1.95;90.00;-0.00;0.50;0;1;0;2;-0.34;0.03;-0.00;-0.00;0.00;-0.02;-0.00;0.00;1.19;-2.03;90.00;-0.00;0.05
117.805;24;1.31;-2.17;103.25;1.19;-1.95;90.00;-0.00;0.50;0;1;0;2;-0.34;0.05;-0.00;-0.00;0.00;-0.02;-0.00;0.00;1.19;-2.03;90.00;-0.00;0.05
117.905;35;1.31;-2.16;103.21;1.19;-1.95;90.00;-0.00;0.50;0;1;0;2;-0.34;0.07;0.05;-0.00;-0.00;-0.06;0.02;-0.04;1.19;-2.03;90.00;-0.00;0.05
118.005;47;1.31;-2.16;102.92;1.19;-1.95;90.00;-0.00;0.50;0;1;0;2;-0.33;0.08;0.07;0.00;0.01;-0.01;0.01;-0.06;1.19;-2.03;90.00;-0.00;0.05
118.105;58;1.30;-2.15;102.63;1.19;-1.95;90.00;-0.00;0.50;0;1;0;2;-0.32;0.09;0.08;0.00;0.00;-0.00;-0.00;-0.04;1.19;-2.03;90.00;-0.00;0.05
118.205;66;1.30;-2.14;102.43;1.19;-1.95;90.00;-0.00;0.50;0;1;0;2;-0.32;0.10;0.09;0.00;0.00;-0.00;-0.00;-0.04;1.19;-2.03;90.00;-0.00;0.05
118.305;77;1.30;-2.13;102.17;1.19;-1.95;90.00;-0.00;0.50;0;1;0;2;-0.31;0.11;0.10;0.00;0.00;-0.00;0.00;-0.04;1.19;-2.03;90.00;-0.00;0.05
118.405;85;1.30;-2.12;102.00;1.19;-1.95;90.00;-0.00;0.50;0;1;0;2;-0.31;0.12;0.11;0.00;0.00;-0.00;0.00;-0.04;1.19;-2.03;90.00;-0.00;0.05
118.505;94;1.30;-2.11;101.83;1.19;-1.95;90.00;-0.00;0.50;0;1;0;2;-0.30;0.13;0.12;0.00;0.00;-0.00;0.00;-0.03;1.19;-2.03;90.00;-0.00;0.05
118.605;104;1.29;-2.10;101.66;1.19;-1.95;90.00;-0.00;0.50;0;1;0;2;-0.30;0.13;0.13;0.00;0.00;0.00;-0.00;-0.03;1.19;-2.03;90.00;-0.00;0.05
118.705;118;1.29;-2.08;101.46;1.19;-1.95;90.00;-0.00;0.50;0;1;0;2;-0.30;0.13;0.13;0.00;-0.00;0.00;-0.00;-0.02;1.19;-2.03;90.00;-0.00;0.05
118.805;127;1.29;-2.07;101.35;1.19;-1.95;90.00;-0.00;0.50;0;1;0;2;-0.30;0.13;0.13;0.00;-0.00;0.00;-0.00;-0.02;1.19;-2.03;90.00;-0.00;0.05
118.905;137;1.29;-2.06;101.24;1.19;-1.95;90.00;-0.00;0.50;0;1;0;2;-0.30;0.13;0.13;0.00;-0.00;0.00;-0.00;-0.02;1.19;-2.03;90.00;-0.00;0.05
119.005;147;1.28;-2.04;101.16;1.19;-1.95;90.00;-0.00;0.50;0;1;0;2;-0.31;0.13;0.13;-0.00;-0.00;0.00;-0.00;-0.01;1.19;-2.03;90.00;-0.00;0.05
119.105;155;1.28;-2.03;101.10;1.19;-1.95;90.00;-0.00;0.50;0;1;0;2;-0.31;0.13;0.13;-0.00;-0.00;0.00;-0.00;-0.01;1.19;-2.03;90.00;-0.00;0.05
119.205;166;1.28;-2.02;101.04;1.19;-1.95;90.00;-0.00;0.50;0;1;0;2;-0.31;0.13;0.13;-0.00;-0.00;0.00;-0.00;-0.01;1.19;-2.02;90.00;-0.00;0.19
119.305;174;1.28;-2.01;100.99;1.19;-1.95;90.00;-0.00;0.50;0;1;0;2;-0.31;0.14;0.13;-0.00;-0.00;0.00;-0.00;-0.01;1.19;-2.01;90.00;-0.00;0.26
119.405;185;1.27;-2.00;100.90;1.19;-1.95;90.00;-0.00;0.50;0;1;0;2;-0.32;0.14;0.14;-0.00;-0.00;0.00;-0.00;-0.02;1.19;-2.00;90.00;-0.00;0.33
119.505;198;1.27;-1.98;100.75;1.19;-1.95;90.00;-0.00;0.50;0;1;0;2;-0.32;0.16;0.15;0.00;-0.00;0.00;-0.00;-0.02;1.19;-1.98;90.00;-0.00;0.41
