t;frame;x;y;z;x_ref;y_ref;z_ref;delta_ref;u_ref;state;ellipse;control;action;delta;u;vx;vy;vz;wx;wy;wz;xr;yr;zr;delr;ur
28.895;9;72.13;9.69;92.68;72.28;10.17;90.00;-0.00;1.00;0;1;0;0;-0.51;0.03;-0.01;-0.00;0.01;-0.04;-0.00;0.01;72.28;9.93;90.00;-0.00;0.11
28.975;16;72.13;9.69;92.68;72.28;10.17;90.00;-0.00;1.00;0;1;0;0;-0.51;0.06;-0.01;-0.00;0.01;-0.04;-0.00;0.01;72.28;9.93;90.00;-0.00;0.11
29.075;26;72.13;9.69;92.67;72.28;10.17;90.00;-0.00;1.00;0;1;0;0;-0.51;0.09;0.00;0.00;-0.00;0.02;-0.01;-0.01;72.28;9.93;90.00;-0.00;0.11
29.175;36;72.13;9.70;92.21;72.28;10.17;90.00;-0.00;1.00;0;1;0;0;-0.49;0.12;0.10;0.00;0.00;-0.01;0.00;-0.12;72.28;9.93;90.00;-0.00;0.11
29.275;47;72.13;9.71;91.45;72.28;10.17;90.00;-0.00;1.00;0;1;0;0;-0.45;0.15;0.13;0.00;0.00;-0.00;0.00;-0.11;72.28;9.93;90.00;-0.00;0.11
29.375;56;72.13;9.72;90.88;72.28;10.17;90.00;-0.00;1.00;0;1;0;0;-0.42;0.17;0.15;0.00;-0.00;-0.00;0.00;-0.10;72.28;9.93;90.00;-0.00;0.11
29.475;67;72.13;9.74;90.29;72.28;10.17;90.00;-0.00;1.00;0;1;0;0;-0.39;0.19;0.17;0.00;-0.00;0.00;0.00;-0.08;72.28;9.93;90.00;-0.00;0.11
29.575;75;72.13;9.76;89.93;72.28;10.17;90.00;-0.00;1.00;0;1;0;0;-0.38;0.21;0.19;0.00;-0.01;-0.00;-0.00;-0.07;72.28;9.93;90.00;-0.00;0.11
29.685;87;72.13;9.78;89.48;72.28;10.17;90.00;-0.00;1.00;0;1;0;0;-0.36;0.22;0.21;0.00;-0.01;0.00;-0.00;-0.06;72.28;9.93;90.00;-0.00;0.11
29.775;97;72.13;9.80;89.17;72.28;10.17;90.00;-0.00;1.00;0;1;0;0;-0.34;0.23;0.22;0.00;-0.01;0.00;-0.00;-0.05;72.28;9.93;90.00;-0.00;0.11
29.875;107;72.13;9.83;88.95;72.28;10.17;90.00;-0.00;1.00;0;1;0;0;-0.33;0.24;0.23;-0.00;-0.01;0.00;-0.00;-0.04;72.28;9.93;90.00;-0.00;0.11
29.975;117;72.13;9.85;88.77;72.28;10.17;90.00;-0.00;1.00;0;1;0;0;-0.32;0.24;0.24;-0.00;-0.01;0.00;-0.01;-0.03;72.28;9.93;90.00;-0.00;0.11
30.075;126;72.13;9.87;88.65;72.28;10.17;90.00;-0.00;1.00;0;1;0;0;-0.31;0.24;0.24;-0.00;-0.01;0.00;-0.01;-0.02;72.28;9.93;90.00;-0.00;0.11
30.175;137;72.13;9.90;88.53;72.28;10.17;90.00;-0.00;1.00;0;1;0;0;-0.30;0.24;0.24;-0.00;-0.01;0.00;-0.01;-0.02;72.28;9.93;90.00;-0.00;0.11
