t;frame;x;y;z;x_ref;y_ref;z_ref;delta_ref;u_ref;state;ellipse;control;action;delta;u;vx;vy;vz;wx;wy;wz;xr;yr;zr;delr;ur
141.955;5;17.64;55.38;105.93;17.28;55.17;90.00;-0.00;1.00;0;1;0;0;0.09;0.05;0.00;0.00;-0.00;0.02;-0.01;-0.01;17.28;55.38;90.00;-0.00;1.00
142.055;15;17.64;55.38;105.94;17.28;55.17;90.00;-0.00;1.00;0;1;0;0;0.09;0.09;-0.00;-0.00;-0.00;0.01;-0.00;0.01;17.28;55.38;90.00;-0.00;1.00
142.155;25;17.64;55.38;105.94;17.28;55.17;90.00;-0.00;1.00;0;1;0;0;0.09;0.13;0.00;0.00;-0.00;0.02;-0.01;-0.01;17.28;55.38;90.00;-0.00;1.00
142.255;35;17.64;55.39;106.06;17.28;55.17;90.00;-0.00;1.00;0;1;0;0;0.08;0.17;0.14;0.01;0.01;-0.02;0.01;0.03;17.28;55.38;90.00;-0.00;1.00
142.355;45;17.64;55.41;106.21;17.28;55.17;90.00;-0.00;1.00;0;1;0;0;0.06;0.22;0.18;0.00;0.00;-0.00;-0.00;0.02;17.28;55.43;90.00;0.00;1.00
142.455;52;17.63;55.42;106.28;17.28;55.17;90.00;-0.00;1.00;0;1;0;0;0.04;0.25;0.22;0.00;0.00;-0.00;-0.00;0.02;17.28;55.43;90.00;0.00;1.00
142.595;62;17.63;55.44;106.29;17.28;55.17;90.00;-0.00;1.00;0;1;0;0;0.03;0.29;0.25;0.00;0.00;-0.01;-0.00;0.00;17.28;55.43;90.00;0.00;1.00
142.655;74;17.62;55.48;106.28;17.28;55.17;90.00;-0.00;1.00;0;1;0;0;0.01;0.32;0.29;0.00;-0.00;0.05;-0.01;-0.02;17.28;55.48;90.00;0.00;1.00
142.755;82;17.61;55.50;106.23;17.28;55.17;90.00;-0.00;1.00;0;1;0;0;-0.01;0.36;0.33;0.00;0.00;-0.01;-0.00;-0.01;17.28;55.48;90.00;0.00;1.00
142.855;93;17.60;55.54;106.14;17.28;55.17;90.00;-0.00;1.00;0;1;0;0;-0.03;0.39;0.36;0.00;0.00;-0.00;-0.00;-0.02;17.28;55.54;90.00;0.00;1.00
142.955;104;17.59;55.58;105.96;17.28;55.17;90.00;-0.00;1.00;0;1;0;0;-0.05;0.42;0.39;0.00;0.00;-0.00;-0.00;-0.03;17.28;55.59;90.00;0.00;1.00
143.055;112;17.58;55.61;105.80;17.28;55.17;90.00;-0.00;1.00;0;1;0;0;-0.06;0.44;0.42;-0.00;0.00;-0.02;-0.02;-0.03;17.28;55.59;90.00;0.00;1.00
143.155;123;17.57;55.65;105.57;17.28;55.17;90.00;-0.00;1.00;0;1;0;0;-0.08;0.47;0.45;0.00;0.00;-0.01;-0.00;-0.04;17.28;55.64;90.00;0.00;1.00
143.255;134;17.55;55.70;105.22;17.28;55.17;90.00;-0.00;1.00;0;1;0;0;-0.10;0.49;0.47;0.00;0.00;-0.00;-0.00;-0.06;17.28;55.70;90.00;0.00;1.00
143.365;145;17.54;55.75;104.81;17.28;55.17;90.00;-0.00;1.00;0;1;0;0;-0.11;0.52;0.50;0.00;0.00;0.00;-0.00;-0.06;17.28;55.75;90.00;0.00;1.00
143.465;155;17.53;55.80;104.44;17.28;55.17;90.00;-0.00;1.00;0;1;0;0;-0.13;0.54;0.52;0.00;-0.00;0.00;-0.00;-0.06;17.28;55.80;90.00;0.00;1.00
143.555;163;17.52;55.84;104.10;17.28;55.17;90.00;-0.00;1.00;0;1;0;0;-0.14;0.56;0.54;0.00;-0.00;0.00;-0.01;-0.08;17.28;55.85;90.00;0.00;1.00
143.655;174;17.50;55.90;103.61;17.28;55.17;90.00;-0.00;1.00;0;1;0;0;-0.15;0.59;0.57;0.00;-0.00;0.00;-0.01;-0.07;17.28;55.91;90.00;0.00;1.00
143.755;185;17.49;55.97;103.11;17.28;56.12;90.00;0.00;1.00;0;3;0;0;-0.16;0.60;0.59;0.00;-0.01;0.00;-0.01;-0.08;17.28;55.96;90.00;0.00;1.00
143.915;197;17.47;56.04;102.54;17.28;56.12;90.00;0.00;1.00;0;3;0;0;-0.15;0.63;0.61;-0.00;-0.01;0.00;-0.01;-0.08;17.28;56.01;90.00;0.00;1.00
143.955;201;17.46;56.06;102.38;17.28;56.12;90.00;0.00;1.00;0;3;0;0;-0.16;0.64;0.61;-0.00;-0.01;0.00;-0.02;-0.07;17.28;56.07;90.00;0.00;1.00
144.055;212;17.45;56.13;101.96;17.28;56.12;90.00;0.00;1.00;0;3;0;0;-0.18;0.66;0.65;-0.00;-0.01;-0.00;-0.02;-0.07;17.28;56.12;90.00;0.00;1.00
144.155;223;17.44;56.20;101.44;17.28;56.12;90.00;0.00;1.00;0;3;0;0;-0.19;0.68;0.66;0.00;-0.01;-0.00;-0.01;-0.10;17.28;56.22;90.00;-0.00;1.00
144.255;231;17.42;56.25;100.97;17.28;56.12;90.00;0.00;1.00;0;3;0;0;-0.19;0.69;0.66;0.06;-0.01;0.04;-0.03;-0.07;17.28;56.22;90.00;-0.00;1.00
144.355;242;17.41;56.32;100.73;17.28;56.59;90.00;-0.00;1.00;0;4;0;0;-0.22;0.71;0.69;0.01;-0.01;-0.07;0.04;-0.05;17.28;56.33;90.00;-0.00;1.00
144.465;256;17.39;56.42;99.60;17.28;56.59;90.00;-0.00;1.00;0;4;0;0;-0.22;0.72;0.71;0.03;-0.01;-0.04;0.02;-0.13;17.28;56.38;90.00;-0.00;1.00
144.555;261;17.38;56.45;99.25;17.28;56.59;90.00;-0.00;1.00;0;4;0;0;-0.22;0.73;0.72;0.01;-0.01;-0.09;0.05;-0.12;17.28;56.44;90.00;-0.00;1.00
144.655;272;17.37;56.53;98.41;17.28;56.59;90.00;-0.00;1.00;0;4;0;0;-0.21;0.75;0.73;0.01;-0.01;-0.01;0.00;-0.07;17.28;56.54;90.00;-0.00;1.00
144.755;283;17.35;56.61;97.85;17.28;56.59;90.00;-0.00;1.00;0;4;0;0;-0.21;0.76;0.74;0.01;-0.01;0.01;-0.01;-0.05;17.28;56.59;90.00;-0.00;1.00
144.855;291;17.34;56.67;97.46;17.28;56.59;90.00;-0.00;1.00;0;4;0;0;-0.21;0.76;0.75;0.04;-0.01;0.16;-0.09;-0.18;17.28;56.65;90.00;-0.00;1.00
144.955;302;17.33;56.75;96.82;17.28;57.07;90.00;-0.00;1.00;0;5;0;0;-0.22;0.78;0.77;0.02;-0.01;-0.08;0.04;-0.09;17.28;56.75;90.00;-0.00;1.00
145.055;315;17.31;56.85;95.61;17.28;57.07;90.00;-0.00;1.00;0;5;0;0;-0.20;0.78;0.77;0.03;-0.01;-0.00;-0.00;-0.13;17.28;56.80;90.00;-0.00;1.00
145.155;321;17.31;56.90;95.30;17.28;57.07;90.00;-0.00;1.00;0;5;0;0;-0.19;0.80;0.79;0.01;-0.01;-0.08;0.05;-0.07;17.28;56.91;90.00;-0.00;1.00
